epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.822,1.45494,3.01575,1.47764,0.44853,0.29663,0.22714,0.12634,1.72738,2.38601,1.65325,0.000302156,0.000302156,0.000302156
2,235.865,1.45659,2.48438,1.47748,0.53847,0.29613,0.25628,0.14454,1.77049,2.36317,1.68884,0.000585186,0.000585186,0.000585186
3,351.211,1.45998,2.33643,1.4931,0.5075,0.32804,0.28744,0.16392,1.77216,2.31934,1.71728,0.000848218,0.000848218,0.000848218
4,464.619,1.43444,2.22531,1.47777,0.53064,0.36382,0.3236,0.1862,1.70509,2.04988,1.63181,0.000819009,0.000819009,0.000819009
5,580.315,1.40148,2.10892,1.44649,0.52804,0.34048,0.30689,0.17577,1.64375,2.11776,1.5977,0.000789012,0.000789012,0.000789012
6,694.177,1.37887,2.03975,1.43319,0.55462,0.35037,0.33222,0.19163,1.62334,2.01779,1.57007,0.000759015,0.000759015,0.000759015
7,808.837,1.35031,1.98169,1.41123,0.58216,0.37181,0.37543,0.22024,1.58403,1.90169,1.54303,0.000729018,0.000729018,0.000729018
8,922.632,1.32517,1.92906,1.39684,0.58069,0.36319,0.37401,0.22387,1.57717,1.87046,1.52094,0.000699021,0.000699021,0.000699021
9,1037.65,1.31792,1.90161,1.3942,0.59431,0.38772,0.37912,0.23177,1.56513,1.8301,1.52413,0.000669024,0.000669024,0.000669024
10,1151.15,1.2854,1.85077,1.37313,0.6106,0.39287,0.3926,0.23429,1.55255,1.83955,1.52795,0.000639027,0.000639027,0.000639027
11,1268.44,1.2735,1.83698,1.37264,0.59806,0.40381,0.40026,0.25004,1.53146,1.75059,1.50029,0.00060903,0.00060903,0.00060903
12,1386.06,1.25818,1.7882,1.35676,0.65262,0.41558,0.43996,0.27247,1.50773,1.7088,1.45842,0.000579033,0.000579033,0.000579033
13,1500.62,1.24758,1.75385,1.35193,0.65763,0.42144,0.44837,0.27938,1.52059,1.67361,1.47072,0.000549036,0.000549036,0.000549036
14,1618.73,1.23648,1.70942,1.3383,0.64727,0.43102,0.44963,0.28038,1.51866,1.68152,1.49124,0.000519039,0.000519039,0.000519039
15,1735.68,1.21713,1.6734,1.32503,0.66992,0.42891,0.46128,0.29039,1.47605,1.63517,1.43205,0.000489042,0.000489042,0.000489042
16,1850.21,1.21096,1.66547,1.32619,0.66717,0.4513,0.47398,0.2991,1.46117,1.58328,1.42282,0.000459045,0.000459045,0.000459045
17,1964.73,1.20829,1.63132,1.31835,0.66527,0.4545,0.47983,0.30525,1.47244,1.58745,1.42974,0.000429048,0.000429048,0.000429048
18,2079.41,1.19953,1.61036,1.31022,0.67052,0.4557,0.48014,0.30948,1.44746,1.58688,1.409,0.000399051,0.000399051,0.000399051
19,2197.07,1.16972,1.57925,1.29786,0.6752,0.4586,0.486,0.31072,1.44803,1.55594,1.42421,0.000369054,0.000369054,0.000369054
20,2313.62,1.16546,1.56411,1.29644,0.68766,0.46778,0.50003,0.31735,1.43623,1.54638,1.39822,0.000339057,0.000339057,0.000339057
21,2424.43,1.18817,1.50847,1.31292,0.67636,0.46784,0.49655,0.31065,1.44125,1.52891,1.40749,0.00030906,0.00030906,0.00030906
22,2533.33,1.17706,1.43773,1.30293,0.71677,0.46343,0.51444,0.329,1.42211,1.49173,1.38809,0.000279063,0.000279063,0.000279063
23,2642.54,1.16622,1.41939,1.29323,0.70889,0.47034,0.51983,0.33703,1.42069,1.47697,1.40068,0.000249066,0.000249066,0.000249066
24,2752.95,1.16046,1.39266,1.2897,0.71599,0.46368,0.52065,0.33372,1.41236,1.44467,1.3802,0.000219069,0.000219069,0.000219069
25,2863.27,1.14224,1.37103,1.28236,0.72749,0.47749,0.53065,0.34272,1.40076,1.40655,1.36024,0.000189072,0.000189072,0.000189072
26,2973.05,1.12848,1.34168,1.27444,0.71706,0.48379,0.53369,0.34563,1.39204,1.39888,1.36182,0.000159075,0.000159075,0.000159075
27,3081.12,1.1091,1.31367,1.25886,0.72816,0.48474,0.53956,0.35139,1.38411,1.39169,1.36104,0.000129078,0.000129078,0.000129078
28,3189.26,1.10935,1.30025,1.25162,0.73716,0.48527,0.54733,0.35574,1.37184,1.36474,1.34034,9.9081e-05,9.9081e-05,9.9081e-05
29,3296.92,1.09562,1.27679,1.24843,0.73948,0.48241,0.54594,0.35807,1.36802,1.35804,1.33406,6.9084e-05,6.9084e-05,6.9084e-05
30,3405.09,1.08449,1.24916,1.23847,0.73457,0.49506,0.5532,0.36233,1.3612,1.3471,1.33207,3.9087e-05,3.9087e-05,3.9087e-05
